element,dept,color,country,planned $ amt,actual $ amt
Californium,Support,Aquamarine,Vietnam,3667,4190
Curium,Support,Crimson,Indonesia,3026,1075
Francium,Business Development,Teal,Israel,4484,2922
Gold,Legal,Red,Palestinian Territory,2539,3896
Protactinium,Engineering,Goldenrod,China,4912,4505
Astatine,Business Development,Pink,Venezuela,1726,4085
Mendelevium,Support,Khaki,Russia,3183,1662
Curium,Product Management,Purple,Bangladesh,4664,1353
Radon,Product Management,Mauv,Indonesia,2074,1065
Fermium,Training,Orange,China,3736,1767
Lawrencium,Product Management,Fuscia,Indonesia,3778,1412
Californium,Marketing,Yellow,Taiwan,2517,4577
Neptunium,Accounting,Violet,Pakistan,2733,1817
Lead,Services,Indigo,Malaysia,3001,4327
Neptunium,Research and Development,Violet,Russia,3584,3843
Lead,Business Development,Goldenrod,South Africa,4548,4483
Thallium,Sales,Crimson,Afghanistan,4874,4169
Protactinium,Marketing,Puce,Ireland,1491,4746
Uranium,Human Resources,Yellow,China,2201,2628
Thallium,Support,Aquamarine,Croatia,3602,3326
Lead,Sales,Blue,Indonesia,4563,1710
Berkelium,Business Development,Red,Poland,3473,2008
Curium,Sales,Crimson,Sweden,2846,2435
Iridium,Marketing,Goldenrod,Morocco,3523,3795
Lawrencium,Services,Orange,Indonesia,3868,2457
Francium,Business Development,Turquoise,Japan,4997,4476
Radium,Training,Orange,Philippines,4903,1140
Platinum,Training,Turquoise,China,3976,1662
Neptunium,Training,Crimson,Sweden,1768,3681
Curium,Legal,Blue,France,3680,3803
Bismuth,Training,Khaki,China,2625,2536
Einsteinium,Business Development,Teal,Russia,2446,2823
Astatine,Marketing,Teal,United States,4519,2137
Francium,Engineering,Green,Ukraine,4540,2843
Lawrencium,Services,Aquamarine,China,4335,4571
Einsteinium,Training,Crimson,Czech Republic,2048,3784
Californium,Marketing,Violet,Thailand,3443,3496
Thorium,Sales,Fuscia,Russia,2656,4388
Radium,Research and Development,Aquamarine,Peru,4169,3792
Uranium,Engineering,Pink,Poland,4503,1434
Uranium,Marketing,Yellow,Philippines,2455,3148
Iridium,Research and Development,Green,Indonesia,2211,1890
Actinium,Training,Goldenrod,Serbia,4716,2220
Lawrencium,Research and Development,Yellow,South Africa,3300,1464
Nobelium,Support,Aquamarine,China,2540,1006
Protactinium,Product Management,Pink,Philippines,3751,3908
Actinium,Sales,Fuscia,Colombia,4987,2249
Radon,Product Management,Puce,Indonesia,3079,4431
Lead,Business Development,Green,Russia,4660,1049
Californium,Engineering,Khaki,Brazil,2466,3968
Astatine,Legal,Orange,Russia,1896,3638
Platinum,Legal,Yellow,France,4688,1066
Radium,Sales,Maroon,Nigeria,4107,1537
Californium,Marketing,Purple,China,1397,2886
Californium,Training,Purple,Indonesia,3533,3030
Einsteinium,Training,Violet,Peru,2935,1742
Mendelevium,Sales,Mauv,China,3518,2302
Curium,Accounting,Blue,China,3371,1330
Gold,Product Management,Red,Brazil,3066,4186
Lead,Product Management,Indigo,Indonesia,1379,4296
Bismuth,Business Development,Goldenrod,Morocco,2132,1229
Radon,Support,Pink,Georgia,3577,1499
Iridium,Accounting,Fuscia,Sweden,3157,2598
Francium,Training,Crimson,Portugal,1660,3176
Einsteinium,Legal,Teal,China,3878,1690
Berkelium,Legal,Maroon,France,3208,1357
Francium,Support,Purple,Vanuatu,4379,1326
Uranium,Research and Development,Violet,China,1313,2507
Fermium,Research and Development,Green,United Kingdom,1984,2251
Astatine,Training,Green,Israel,4632,3567
Astatine,Sales,Red,Russia,2658,2163
Lead,Human Resources,Teal,Slovenia,3999,1523
Californium,Business Development,Yellow,Indonesia,4328,1375
Americium,Accounting,Blue,Kyrgyzstan,1194,2352
Curium,Marketing,Fuscia,Greece,2458,3888
Berkelium,Research and Development,Yellow,Netherlands,1479,2593
Einsteinium,Legal,Maroon,Indonesia,2716,2063
Platinum,Engineering,Puce,China,3590,3795
Curium,Human Resources,Mauv,Colombia,3825,4348
Platinum,Human Resources,Crimson,Thailand,1655,4519
Lead,Legal,Khaki,Indonesia,3337,1908
Francium,Human Resources,Crimson,Uzbekistan,3527,3440
Mercury,Accounting,Goldenrod,Czech Republic,2824,1139
Mercury,Legal,Yellow,France,1743,4810
Mendelevium,Services,Maroon,Indonesia,2553,3400
Neptunium,Legal,Puce,Indonesia,3183,4272
Mercury,Support,Purple,Brazil,2821,1952
Lead,Services,Khaki,China,3761,1751
Berkelium,Training,Mauv,Argentina,3402,1968
Berkelium,Product Management,Violet,Brazil,2054,2789
Uranium,Support,Maroon,South Africa,3794,3143
Lawrencium,Accounting,Purple,Philippines,4465,3131
Nobelium,Business Development,Turquoise,Indonesia,2074,1430
Iridium,Engineering,Goldenrod,Russia,3376,1423
Neptunium,Accounting,Fuscia,Syria,4738,1858
Radon,Training,Indigo,Swaziland,2830,4884
Francium,Business Development,Pink,Indonesia,3222,3605
Radon,Marketing,Red,Ukraine,2437,2276
Mendelevium,Legal,Khaki,Philippines,2015,2479
Radon,Business Development,Crimson,Russia,3357,1760
Mercury,Services,Mauv,China,2976,1519
Protactinium,Legal,Red,China,3368,2959
Californium,Services,Indigo,Czech Republic,2239,2865
Americium,Product Management,Mauv,Cuba,2122,3755
Mercury,Support,Khaki,Indonesia,4395,4731
Bismuth,Marketing,Goldenrod,Ukraine,1211,2884
Mendelevium,Product Management,Purple,Indonesia,2731,1220
Francium,Legal,Indigo,Indonesia,1350,4553
Fermium,Services,Yellow,Portugal,3347,1580
Neptunium,Marketing,Teal,China,1435,1489
Californium,Marketing,Green,Sierra Leone,1586,4972
Americium,Support,Pink,South Korea,3910,2786
Mendelevium,Marketing,Indigo,Honduras,3084,2270
Americium,Product Management,Blue,Chile,3500,4244
Curium,Training,Yellow,Ireland,1516,1193
Curium,Business Development,Fuscia,Philippines,1679,2280
Fermium,Sales,Violet,United States,2713,1194
Curium,Engineering,Puce,Canada,3934,2347
Berkelium,Marketing,Mauv,Thailand,4671,2596
Mendelevium,Services,Yellow,Nigeria,2057,2967
Mercury,Product Management,Orange,Jamaica,1847,4882
Mendelevium,Marketing,Turquoise,Indonesia,2490,4336
Iridium,Human Resources,Mauv,Greece,2918,2780
Polonium,Support,Yellow,Sweden,4963,3011
Thallium,Legal,Teal,China,1645,3616
Mercury,Services,Turquoise,Russia,3908,3779
Mendelevium,Business Development,Indigo,Ukraine,3618,1305
Mercury,Human Resources,Orange,China,4333,2107
Astatine,Research and Development,Teal,Greece,3409,2791
Lawrencium,Business Development,Pink,Peru,2681,3047
Iridium,Support,Red,Iraq,2852,2452
Thallium,Product Management,Fuscia,Angola,1388,4426
Francium,Sales,Yellow,Finland,4484,3915
Thorium,Services,Crimson,Indonesia,3071,1634
Americium,Accounting,Teal,Pakistan,3456,1844
Lawrencium,Product Management,Orange,China,1959,1859
Iridium,Marketing,Green,Indonesia,1870,2418
Thorium,Accounting,Khaki,United States,3730,1904
Protactinium,Training,Yellow,Philippines,2585,1340
Thallium,Business Development,Indigo,Greece,4335,4720
Californium,Legal,Fuscia,Philippines,3298,3428
Lawrencium,Services,Turquoise,Sweden,3417,3651
Lead,Engineering,Yellow,Brazil,2798,4447
Platinum,Services,Red,Poland,1591,2243
Thallium,Engineering,Mauv,Poland,3077,1190
Mercury,Support,Fuscia,Indonesia,2222,3222
Einsteinium,Services,Turquoise,China,3347,2463
Platinum,Marketing,Green,Philippines,4484,2060
Uranium,Business Development,Indigo,China,3817,4748
Curium,Training,Green,Canada,4433,4224
Curium,Services,Violet,Russia,4528,3400
Neptunium,Accounting,Yellow,Brazil,4492,2672
Radon,Business Development,Violet,Ukraine,4586,2532
Uranium,Human Resources,Orange,Moldova,1072,4893
Einsteinium,Human Resources,Indigo,Czech Republic,3141,4836
Polonium,Legal,Indigo,France,2807,1389
Polonium,Marketing,Pink,China,3254,1204
Bismuth,Engineering,Goldenrod,Indonesia,3306,3089
Fermium,Engineering,Indigo,China,1967,2632
Nobelium,Product Management,Aquamarine,Portugal,4428,3246
Mercury,Engineering,Puce,China,1307,4811
Polonium,Sales,Blue,Mexico,2779,3258
Thallium,Research and Development,Goldenrod,Portugal,3122,3194
Plutonium,Support,Orange,United Kingdom,3609,3261
Lead,Engineering,Red,Angola,3334,3319
Astatine,Engineering,Indigo,China,3407,1007
Californium,Product Management,Khaki,Croatia,1909,2806
Polonium,Training,Violet,Russia,1118,4905
Bismuth,Product Management,Orange,China,2524,3515
Americium,Accounting,Goldenrod,United States,3205,3823
Polonium,Engineering,Yellow,Poland,3594,2043
Francium,Research and Development,Maroon,Brazil,2237,4234
Lawrencium,Business Development,Yellow,China,1121,2221
Uranium,Research and Development,Crimson,Portugal,1135,2768
Lawrencium,Product Management,Mauv,Philippines,3369,1676
Einsteinium,Product Management,Indigo,Finland,4223,4623
Fermium,Services,Mauv,China,4498,3459
Californium,Sales,Violet,Argentina,2985,3133
Berkelium,Business Development,Crimson,Portugal,1302,3813
Fermium,Business Development,Fuscia,China,4865,2181
Uranium,Product Management,Fuscia,Sweden,2791,2306
Uranium,Business Development,Indigo,Mexico,3835,1987
Thallium,Training,Fuscia,Russia,1699,3675
Actinium,Human Resources,Khaki,China,3402,1727
Lead,Accounting,Teal,Indonesia,1137,2029
Nobelium,Accounting,Red,Portugal,2980,1975
Plutonium,Research and Development,Maroon,Mexico,3080,2022
Neptunium,Research and Development,Indigo,Poland,1140,1730
Uranium,Accounting,Indigo,China,3721,4711
Californium,Research and Development,Puce,Nigeria,4690,4557
Nobelium,Engineering,Teal,Czech Republic,1487,2909
Americium,Services,Green,Philippines,4233,4029
Neptunium,Accounting,Indigo,Philippines,4200,1240
Nobelium,Accounting,Aquamarine,Yemen,2253,2824
Mendelevium,Accounting,Blue,United States,3599,3429
Thorium,Accounting,Green,China,3662,2025
Radium,Engineering,Red,Serbia,4369,4654
Gold,Marketing,Teal,Spain,4525,2651
Curium,Research and Development,Crimson,Philippines,1374,4987
Uranium,Services,Orange,Nicaragua,1850,1109
Bismuth,Services,Orange,Portugal,2021,3800
Francium,Support,Goldenrod,Finland,3072,4195
Bismuth,Legal,Yellow,Croatia,3383,3458
Astatine,Engineering,Green,Bosnia and Herzegovina,3790,2592
Einsteinium,Support,Indigo,France,3192,1752
Neptunium,Business Development,Pink,China,1223,4694
Uranium,Marketing,Fuscia,Japan,4473,1644
Thallium,Legal,Maroon,Croatia,2140,3589
Gold,Services,Mauv,United States,3197,1514
Einsteinium,Research and Development,Puce,China,1314,4482
Gold,Research and Development,Goldenrod,Indonesia,1977,3378
Lawrencium,Legal,Teal,Tanzania,2342,2118
Radon,Business Development,Teal,Albania,2021,3917
Nobelium,Training,Aquamarine,Japan,2222,1862
Mendelevium,Legal,Fuscia,China,4838,4045
Protactinium,Sales,Purple,Indonesia,2560,1615
Radium,Business Development,Pink,Poland,2196,2345
Neptunium,Legal,Purple,China,2993,1510
Einsteinium,Services,Orange,Philippines,2835,2683
Lawrencium,Human Resources,Puce,Philippines,1474,3875
Gold,Training,Purple,Indonesia,1568,2486
Lead,Support,Fuscia,Comoros,4617,2778
Gold,Accounting,Fuscia,Portugal,4461,3949
Polonium,Services,Crimson,Russia,3316,2497
Nobelium,Research and Development,Crimson,Dominican Republic,3218,4123
Protactinium,Engineering,Maroon,Russia,4718,1753
Gold,Services,Red,Philippines,3769,4698
Plutonium,Training,Mauv,France,3302,2221
Gold,Engineering,Violet,France,4943,4593
Polonium,Product Management,Pink,Russia,2440,4207
Thorium,Legal,Turquoise,China,2719,1973
Fermium,Engineering,Crimson,Azerbaijan,2063,2662
Thorium,Legal,Orange,Czech Republic,4265,4687
Americium,Training,Teal,France,1486,3814
Radon,Business Development,Blue,Panama,1787,1693
Radium,Research and Development,Puce,Honduras,2696,4960
Radium,Support,Orange,Indonesia,4742,2359
Einsteinium,Human Resources,Fuscia,Portugal,2104,1704
Iridium,Product Management,Crimson,Thailand,2029,2823
Bismuth,Marketing,,,3684,
Nobelium,Services,,,1479,
Astatine,Support,,,4010,
Astatine,Legal,,,2123,
Mendelevium,Research and Development,,,3974,
Mendelevium,Business Development,,,1841,
Bismuth,Legal,,,2974,
Lawrencium,Human Resources,,,2496,
Radon,Support,,,1912,
Lawrencium,Human Resources,,,1068,
Platinum,Marketing,,,4642,
Nobelium,Product Management,,,2901,
Radon,Marketing,,,4416,
Thallium,Accounting,,,2133,
Gold,Human Resources,,,4335,
Thallium,Business Development,,,2456,
Plutonium,Sales,,,2967,
Lawrencium,Sales,,,1519,
Protactinium,Sales,,,3844,
Polonium,Support,,,1314,
Francium,Services,,,4125,
Protactinium,Marketing,,,1812,
Lead,Marketing,,,2048,
Polonium,Research and Development,,,1241,
Iridium,Marketing,,,3805,
Uranium,Business Development,,,1730,
Lead,Sales,,,2699,
Mendelevium,Product Management,,,2609,
Mendelevium,Marketing,,,1768,
Californium,Human Resources,,,2879,
Lead,Training,,,3606,
Plutonium,Engineering,,,1198,
Einsteinium,Human Resources,,,1026,
Mercury,Support,,,3683,
Francium,Sales,,,1276,
Polonium,Business Development,,,3463,
Berkelium,Business Development,,,3690,
Gold,Research and Development,,,2330,
Plutonium,Product Management,,,1896,
Curium,Human Resources,,,4025,
Americium,Human Resources,,,2661,
Berkelium,Research and Development,,,2463,
Lawrencium,Legal,,,1012,
Mendelevium,Sales,,,3508,
Mendelevium,Human Resources,,,4050,
Radon,Marketing,,,1802,
Platinum,Sales,,,1426,
Platinum,Support,,,2830,
Neptunium,Engineering,,,3652,
Berkelium,Marketing,,,1866,
Neptunium,Training,,,2247,
Platinum,Human Resources,,,4149,
Radium,Business Development,,,2256,
Mercury,Training,,,4411,
Francium,Product Management,,,2736,
Curium,Product Management,,,2694,
Bismuth,Marketing,,,1251,
Uranium,Training,,,4808,
Lawrencium,Marketing,,,4054,
Iridium,Human Resources,,,2886,
Einsteinium,Sales,,,3299,
Radium,Training,,,4906,
Lead,Product Management,,,1592,
Thallium,Research and Development,,,4728,
Radon,Research and Development,,,4014,
Thorium,Accounting,,,4970,
Plutonium,Business Development,,,1844,
Bismuth,Engineering,,,4597,
Thallium,Research and Development,,,4454,
Radium,Marketing,,,4779,
Lead,Human Resources,,,1836,
Einsteinium,Legal,,,2672,
Protactinium,Engineering,,,1535,
Platinum,Research and Development,,,2920,
Radon,Support,,,3128,
Neptunium,Research and Development,,,1819,
Neptunium,Accounting,,,3061,
Neptunium,Accounting,,,1330,
Mendelevium,Services,,,1917,
Francium,Marketing,,,3284,
Californium,Research and Development,,,4597,
Fermium,Legal,,,4646,
Nobelium,Accounting,,,2976,
Mercury,Services,,,1648,
Iridium,Business Development,,,4878,
Curium,Business Development,,,3842,
Gold,Services,,,3875,
Uranium,Training,,,3618,
Lead,Business Development,,,3443,
Neptunium,Research and Development,,,2357,
Mendelevium,Legal,,,3948,
Plutonium,Services,,,3083,
Nobelium,Marketing,,,4411,
Neptunium,Research and Development,,,3236,
Iridium,Product Management,,,1576,
Neptunium,Sales,,,4092,
Francium,Marketing,,,4740,
Francium,Services,,,1445,
Plutonium,Engineering,,,4790,
Fermium,Human Resources,,,2181,
Uranium,Human Resources,,,2539,
Fermium,Services,,,3907,
Americium,Human Resources,,,2912,
Curium,Accounting,,,4481,
Iridium,Services,,,3438,
Mendelevium,Legal,,,2233,
Radium,Legal,,,4898,
Plutonium,Research and Development,,,1828,
Nobelium,Product Management,,,2432,
Platinum,Support,,,2501,
Lead,Sales,,,3884,
Californium,Training,,,1585,
Radon,Business Development,,,3181,
Bismuth,Services,,,1396,
Gold,Support,,,1246,
Francium,Engineering,,,2002,
Lead,Research and Development,,,2874,
Nobelium,Services,,,2083,
Actinium,Sales,,,4184,
Thallium,Business Development,,,4466,
Einsteinium,Training,,,3530,
Polonium,Research and Development,,,1971,
Francium,Accounting,,,2525,
Einsteinium,Marketing,,,1134,
Francium,Services,,,2232,
Mercury,Accounting,,,1350,
Bismuth,Engineering,,,4488,
Radon,Services,,,4529,
Californium,Legal,,,3007,
Americium,Engineering,,,3842,
Einsteinium,Marketing,,,3471,
Americium,Engineering,,,4937,
Actinium,Marketing,,,1011,
Americium,Product Management,,,3567,
Radon,Product Management,,,4069,
Radon,Marketing,,,1261,
Radium,Services,,,4733,
Nobelium,Product Management,,,3211,
Astatine,Research and Development,,,4271,
Francium,Product Management,,,1435,
Neptunium,Services,,,1791,
Plutonium,Sales,,,1945,
Thorium,Engineering,,,3139,
Curium,Marketing,,,3803,
Americium,Services,,,4352,
Radium,Product Management,,,1614,
Fermium,Training,,,2569,
Radon,Training,,,2088,
Einsteinium,Accounting,,,3954,
Curium,Business Development,,,1334,
Fermium,Support,,,4808,
Actinium,Services,,,2697,
Lawrencium,Marketing,,,1323,
Fermium,Product Management,,,1716,
Polonium,Support,,,4638,
Mercury,Support,,,4458,
Berkelium,Sales,,,3905,
Berkelium,Accounting,,,2717,
Mendelevium,Sales,,,1796,
Curium,Legal,,,3684,
Thorium,Legal,,,3326,
Gold,Training,,,3248,
Thorium,Support,,,1550,
Platinum,Services,,,4256,
Einsteinium,Sales,,,2118,
Plutonium,Human Resources,,,3013,
Iridium,Training,,,4293,
Thorium,Support,,,2099,
Thallium,Support,,,3255,
Actinium,Sales,,,1506,
Fermium,Product Management,,,1286,
Nobelium,Legal,,,1955,
Francium,Legal,,,3292,
Mercury,Sales,,,1057,
Platinum,Research and Development,,,2547,
Astatine,Legal,,,1102,
Einsteinium,Product Management,,,2242,
Radon,Engineering,,,4322,
Francium,Human Resources,,,3103,
Iridium,Research and Development,,,4209,
Astatine,Accounting,,,4865,
Neptunium,Services,,,4189,
Thorium,Business Development,,,2489,
Berkelium,Business Development,,,4377,
Francium,Product Management,,,4649,
Bismuth,Business Development,,,4209,
Radon,Research and Development,,,3730,
Plutonium,Business Development,,,1485,
Mendelevium,Sales,,,2638,
Radium,Marketing,,,1183,
Uranium,Support,,,3832,
Radon,Services,,,1122,
Iridium,Training,,,1040,
Californium,Training,,,2949,
Uranium,Services,,,2733,
Berkelium,Business Development,,,3695,
Californium,Services,,,3873,
Plutonium,Engineering,,,2411,
Plutonium,Research and Development,,,2659,
Protactinium,Human Resources,,,4201,
Gold,Sales,,,3407,
Radium,Training,,,1697,
